vignette,u_unmarked,u_marked,context,speaker,state_type,state,p1,p2,p3,upper_bound,lower_bound
13,“The aliens destroyed the planet.”,“The aliens caused the planet to be destroyed.”,"Nick and Dan were watching a science-fiction movie, but Nick fell asleep. Afterwards, he asked, 'What happened at the end?' Dan replied: ",Dann,s_atypical,The aliens destroyed the planet by introducing insects which multiplied and overwhelmed the planet. ,The planet was destroyed by aliens who introduced insects that overran it.,Aliens caused the planet's destruction by unleashing insects that multiplied uncontrollably.,The introduction of insects by aliens led to the planet's downfall.,The aliens caused the planet to be destroyed.,The aliens destroyed the planet.
13,“The aliens destroyed the planet.”,“The aliens caused the planet to be destroyed.”,"Nick and Dan were watching a science-fiction movie, but Nick fell asleep. Afterwards, he asked, 'What happened at the end?' Dan replied: ",Dann,s_typical,The aliens destroyed the planet (by attacking it).,The planet was destroyed by the aliens.,The aliens attacked and destroyed the planet.,The planet's destruction was caused by the aliens' attack.,The aliens destroyed the planet.,The aliens caused the planet to be destroyed.
14,“The chef burned the cookies.”,“The chef caused the cookies to burn.”,John read a culinary magazine with stories about famous pastry chefs. Ann asks: 'What happened to the cookies of the chef?' John replied: ,John,s_atypical,The chef caused a fire in the kitchen so that the cookies burned.,The cookies burned because the chef started a fire in the kitchen.,"Due to the chef's actions, a fire was started in the kitchen and the cookies burned.","The chef caused a fire in the kitchen, resulting in burnt cookies.",The chef caused the cookies to burn.,The chef burned the cookies.
14,“The chef burned the cookies.”,“The chef caused the cookies to burn.”,John read a culinary magazine with stories about famous pastry chefs. Ann asks: 'What happened to the cookies of the chef?' John replied: ,John,s_typical,The chef burned the cookies.,The cookies were burned by the chef.,The chef messed up the cookies and burned them.,The cookies were ruined because the chef burned them.,The chef burned the cookies.,The chef caused the cookies to burn.
16,“The detective solved the crime.”,“The detective caused the crime to be solved.”,Was the crime solved? ,Ann,s_atypical,"The detective left some notes on the table, her secretary saw the notes and solved the crime.",The detective's notes were left on the table and solved the crime when her secretary saw them.,The crime was solved thanks to the detective's notes left on the table and discovered by her secretary.,The detective's secretary found and used the notes left on the table to solve the crime.,The detective caused the crime to be solved.,The detective solved the crime.
16,“The detective solved the crime.”,“The detective caused the crime to be solved.”,Was the crime solved? ,Ann,s_typical,A police detective solved the crime.,The crime was solved by a police detective.,A detective from the police department solved the crime.,The culprit was caught by a detective who works for the police.,The detective solved the crime.,The detective caused the crime to be solved.
19,“The couple won by performing a lift.”,“A lift was essential in determining who won the competition.”,"Jason and Megan were watching a dance competition, but Jason dozed off. Once he woke up, he asked Megan, 'What happened at the end?' Megan replied: ",Megan,s_atypical,"A couple performed a complex lift but failed, making the couple who was second win.","The couple attempted a difficult lift but didn't succeed, resulting in the second couple winning.","The first couple failed a complex lift, causing the second couple to win.",The second couple won after the first couple couldn't complete a challenging lift.,A lift was essential in determining who won the competition.,The couple won by performing a lift.
19,“The couple won by performing a lift.”,“A lift was essential in determining who won the competition.”,"Jason and Megan were watching a dance competition, but Jason dozed off. Once he woke up, he asked Megan, 'What happened at the end?' Megan replied: ",Megan,s_typical,The couple performed a complex lift and won.,The couple executed a difficult lift and emerged victorious.,They pulled off a challenging lift and came out on top.,"With a complex lift, the couple secured their win.",The couple won by performing a lift.,A lift was essential in determining who won the competition.
20,“The king suppressed the rebellion.” ,“The king got the rebellion to be suppressed.”,"Sam and Kate were watching a historical drama, but Sam fell asleep. When he woke up, he asked Kate, 'What happened at the end?' Kate replied: ",Kate,s_atypical,The king paid the neighboring state to suppress the rebellion in his country.,The king hired the neighboring state to quell the rebellion in his country.,The neighboring state was paid by the king to suppress the rebellion in his country.,The king paid for the neighboring state to put down the rebellion in his country.,The king got the rebellion to be suppressed.,The king suppressed the rebellion. 
20,“The king suppressed the rebellion.” ,“The king got the rebellion to be suppressed.”,"Sam and Kate were watching a historical drama, but Sam fell asleep. When he woke up, he asked Kate, 'What happened at the end?' Kate replied: ",Kate,s_typical,The king's army suppressed the rebellion.,The rebellion was suppressed by the king's army.,The king's army quelled the rebellion.,The rebellion was put down by the king's army.,The king suppressed the rebellion. ,The king got the rebellion to be suppressed.
