submission_id,age,assumption,comments,correct_answer,education,experiment_duration,experiment_end_time,experiment_start_time,gender,inference_type,itemOrder,item_id,languages,llm_id,lower_bound,p1,p2,responseTime,trialNr,trial_type,upper_bound
1294,NA,manner_4,NA,main,NA,787593,1750507524449,1750506736856,NA,irrelevant,"p1,p2,upper_bound,lower_bound",1,NA,NA,58,43,67,73517,5,main,45
1294,NA,manner_3,NA,main,NA,787593,1750507524449,1750506736856,NA,too_much,"lower_bound,p2,upper_bound,p1",11,NA,NA,47,53,45,150928,6,main,46
1294,64,NA,It was nice,NA,NA,787593,1750507524449,1750506736856,female,NA,NA,NA,English,NO,NA,NA,NA,55957,NA,NA,NA
1295,NA,NA,NA,NA,NA,727615,1750508166032,1750507438417,NA,NA,"lower_bound,p1,upper_bound,p2",NA,NA,NA,56,83,NA,62433,NA,NA,NA
1295,NA,manner_1,NA,100,NA,727615,1750508166032,1750507438417,NA,too_little,"upper_bound,p2,lower_bound,p1",13,NA,NA,99,99,100,39872,1,filler,99
1295,NA,manner_2,NA,main,NA,727615,1750508166032,1750507438417,NA,baseline,"lower_bound,p1,p2,upper_bound",2,NA,NA,9,67,76,81678,2,main,52
1295,NA,manner_3,NA,main,NA,727615,1750508166032,1750507438417,NA,marked,"upper_bound,lower_bound,p1,p2",6,NA,NA,81,69,61,98214,3,main,65
1295,NA,quality_2,NA,main,NA,727615,1750508166032,1750507438417,NA,too_much,"p2,upper_bound,lower_bound,p1",3,NA,NA,55,14,38,56844,4,main,88
1295,NA,quantity_1,NA,main,NA,727615,1750508166032,1750507438417,NA,irrelevant,"upper_bound,lower_bound,p2,p1",12,NA,NA,34,82,65,60247,5,main,46
1295,NA,no_violation,NA,main,NA,727615,1750508166032,1750507438417,NA,too_little,"p2,p1,lower_bound,upper_bound",6,NA,NA,36,36,41,38562,6,main,82
1295,29,NA,That was quite a confusing task - I think I only really understood what was being asked of me a couple of questions in. I think I’ve had understood it more if the slider said something like “machine interpretation” - “human interpretation”,NA,Higher degree,727615,1750508166032,1750507438417,female,NA,NA,NA,English,"Yes, I think the machine interpretations would be more literal, whereas the human ones would imagine tone or extra context.",NA,NA,NA,186594,NA,NA,NA
1296,NA,NA,NA,NA,NA,553656,1750508986759,1750508433103,NA,NA,"lower_bound,p1,upper_bound,p2",NA,NA,NA,11,88,80,66132,NA,NA,86
1296,NA,manner_1,NA,main,NA,553656,1750508986759,1750508433103,NA,too_little,"upper_bound,p1,lower_bound,p2",12,NA,NA,19,83,18,88836,1,main,87
1296,NA,manner_2,NA,0,NA,553656,1750508986759,1750508433103,NA,baseline,"p1,lower_bound,upper_bound,p2",22,NA,NA,13,100,100,45154,2,filler,100
1296,NA,quantity_1,NA,main,NA,553656,1750508986759,1750508433103,NA,baseline,"upper_bound,p2,lower_bound,p1",2,NA,NA,93,94,91,41759,3,main,92
1296,NA,manner_3,NA,main,NA,553656,1750508986759,1750508433103,NA,irrelevant,"upper_bound,p2,p1,lower_bound",14,NA,NA,16,11,91,45705,4,main,95
1296,NA,quantity_2,NA,main,NA,553656,1750508986759,1750508433103,NA,too_much,"p2,upper_bound,p1,lower_bound",7,NA,NA,94,93,91,86447,5,main,86
1296,NA,manner_4,NA,main,NA,553656,1750508986759,1750508433103,NA,marked,"lower_bound,p1,p2,upper_bound",8,NA,NA,7,8,12,57280,6,main,96
1296,25,NA,It's a nice study,NA,Graduated College,553656,1750508986759,1750508433103,female,NA,NA,NA,English,Absolutely I could identify the machine interpretation. The machine lacks the ability to recognize sarcasm,NA,NA,NA,70729,NA,NA,NA
